ID,COMPONENT,COMPONENT DETAIL,ORIENTATION,ACTION,APPLIED TO,TOOL,TOOL DETAIL,ASSEMBLY DETAIL
1,Frame 1,Type = Lower;,,Place,Frame 1;,,,Place Frame 1 on the Workstation
2,Screw 1,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Insert,Frame 1.Hole 1;,Screwdriver,Tip = CR-V 2.0mm;,
3,Spacer 1,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Screw 1;,Wrench,Diameter = 3mm;,
4,Screw 2,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Insert,Frame 1.Hole 2;,Screwdriver,Tip = CR-V 2.0mm;,
5,Spacer 2,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Screw 2;,Wrench,Diameter = 3mm;,
6,Screw 3,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Insert,Frame 1.Hole 3;,Screwdriver,Tip = CR-V 2.0mm;,
7,Spacer 3,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Screw 3 ;,Wrench,Diameter = 3mm;,
8,Screw 4,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Insert,Frame 1.Hole 4;,Screwdriver,Tip = CR-V 2.0mm;,
9,Spacer 4,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Screw 4;,Wrench,Diameter = 3mm;,
10,Bracket 1,Threaded = True; Diameter = 3mm; Length = 73mm;,,Screw in,Spacer 1;,,,
11,Bracket 2,Threaded = True; Diameter = 3mm; Length = 73mm;,,Screw in,Spacer 2;,,,
12,Bracket 3,Threaded = True; Diameter = 3mm; Length = 73mm;,,Screw in,Spacer 3;,,,
13,Bracket 4,Threaded = True; Diameter = 3mm; Length = 73mm;,,Screw in,Spacer 4;,,,
14,Washer 1,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 1;,,,
15,Washer 2,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 1;,,,
16,Washer 3,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 1;,,,
17,Washer 4,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 2;,,,
18,Washer 5,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 2;,,,
19,Washer 6,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 2;,,,
20,Washer 7,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 3;,,,
21,Washer 8,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 3;,,,
22,Washer 9,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 3;,,,
23,Washer 10,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 4;,,,
24,Washer 11,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 4;,,,
25,Washer 12,Thickness = 0.5mm; Hole Diameter = 3mm;,,Insert,Bracket 4;,,,
26,Spacer 5,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 1;,Wrench,Diameter = 3mm;,
27,Spacer 6,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 2;,Wrench,Diameter = 3mm;,
28,Spacer 7,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 3;,Wrench,Diameter = 3mm;,
29,Spacer 8,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 4;,Wrench,Diameter = 3mm;,
30,Card 1,Type = Payload;,,Insert,Bracket 1; Bracket 2; Bracket 3; Bracket 4;,,,
31,Spacer 9,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 1;,,,
32,Spacer 10,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 2;,,,
33,Spacer 11,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 3;,,,
34,Spacer 12,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 4;,,,
35,Spacer 13,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 1;,Wrench,Diameter = 3mm;,
36,Spacer 14,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 2;,Wrench,Diameter = 3mm;,
37,Spacer 15,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 3;,Wrench,Diameter = 3mm;,
38,Spacer 16,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 4;,Wrench,Diameter = 3mm;,
39,Card 2,Type = Battery and PDI;,,Insert,Bracket 1; Bracket 2; Bracket 3; Bracket 4;,,,
40,Spacer 17,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 1;,,,
41,Spacer 18,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 2;,,,
42,Spacer 19,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 3;,,,
43,Spacer 20,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 4;,,,
44,Spacer 21,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 1;,Wrench,Diameter = 3mm;,
45,Spacer 22,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 2;,Wrench,Diameter = 3mm;,
46,Spacer 23,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 3;,Wrench,Diameter = 3mm;,
47,Spacer 24,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 4;,Wrench,Diameter = 3mm;,
48,Card 3,Type = Onboard Computer;,,Insert,Bracket 1; Bracket 2; Bracket 3; Bracket 4;,,,
49,Spacer 25,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 1;,,,
50,Spacer 26,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 2;,,,
51,Spacer 27,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 3;,,,
52,Spacer 28,Body = Circular; Threaded = False; Diamter = 3mm; Length = 10mm;,,Insert,Bracket 4;,,,
53,Spacer 29,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 1;,Wrench,Diameter = 3mm;,
54,Spacer 30,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 2;,Wrench,Diameter = 3mm;,
55,Spacer 31,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 3;,Wrench,Diameter = 3mm;,
56,Spacer 32,Body = Hexagonal; Threaded = True; Diameter = 3mm; Length = 10mm;,,Screw in,Bracket 4;,Wrench,Diameter = 3mm;,
57,Frame 2,Type= Upper;,Hole 1 = Spacer 29; Hole 2 = Spacer 30; Hole 3 = Spacer 31; Hole 4 = Spacer 32;,Place,Spacer 29; Spacer 30; Spacer 31; Spacer 32;,,,
58,Screw 5,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Screw in,Frame 2.Hole 1;,Screwdriver,Tip = CR-V T8;,
59,Screw 6,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Screw in,Frame 2.Hole 2;,Screwdriver,Tip = CR-V T8;,
60,Screw 7,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Screw in,Frame 2.Hole 3;,Screwdriver,Tip = CR-V T8;,
61,Screw 8,Head = Hexagonal; Diameter = 3mm; Length = 11mm;,,Screw in,Frame 2.Hole 4;,Screwdriver,Tip = CR-V T8;,
62,Card 4,Type = Upper Closure;,,Place,Bracket 1; Bracket 2; Bracket 3; Bracket 4;,,,
63,Screw 9,Head = Flat; Diameter = 3mm; Length = 5mm;,,Screw in,Card 4.Hole 1;,Screwdriver,Tip = CR-V 3.5mm;,
64,Screw 10,Head = Flat; Diameter = 3mm; Length = 5mm;,,Screw in,Card 4.Hole 2;,Screwdriver,Tip = CR-V 3.5mm;,
65,Screw 11,Head = Flat; Diameter = 3mm; Length = 5mm;,,Screw in,Card 4.Hole 3;,Screwdriver,Tip = CR-V 3.5mm;,
66,Screw 12,Head = Flat; Diameter = 3mm; Length = 5mm;,,Screw in,Card 4.Hole 4;,Screwdriver,Tip = CR-V 3.5mm;,
67,Rail 1,Plunger = False; Length = 113.5mm;,,Place,Frame 1.Corner 1; Frame 2.Corner 1;,,,
68,Screw 13,Head = Torx; Diameter = 3mm;,,Screw in,Rail 1.Hole 1;,Screwdriver,Tip = CR-V T8;,
69,Screw 14,Head = Torx; Diameter = 3mm;,,Screw in,Rail 1.Hole 2;,Screwdriver,Tip = CR-V T8;,
70,Screw 15,Head = Torx; Diameter = 3mm;,,Screw in,Rail 1.Hole 3;,Screwdriver,Tip = CR-V T8;,
71,Screw 16,Head = Torx; Diameter = 3mm;,,Screw in,Rail 1.Hole 4;,Screwdriver,Tip = CR-V T8;,
72,Rail 2,Plunger = False; Length = 113.5mm;,,Place,Frame 1.Corner 3; Frame 2.Corner 3;,,,
73,Screw 17,Head = Torx; Diameter = 3mm;,,Screw in,Rail 2.Hole 1;,Screwdriver,Tip = CR-V T8;,
74,Screw 18,Head = Torx; Diameter = 3mm;,,Screw in,Rail 2.Hole 2;,Screwdriver,Tip = CR-V T8;,
75,Screw 19,Head = Torx; Diameter = 3mm;,,Screw in,Rail 2.Hole 3;,Screwdriver,Tip = CR-V T8;,
76,Screw 20,Head = Torx; Diameter = 3mm;,,Screw in,Rail 2.Hole 4;,Screwdriver,Tip = CR-V T8;,
77,Rail 3,Plunger = True; Length = 113.5mm;,,Place,Frame 1.Corner 2; Frame 2.Corner 2;,,,
78,Screw 21,Head = Torx; Diameter = 3mm;,,Screw in,Rail 3.Hole 1;,Screwdriver,Tip = CR-V T8;,
79,Screw 22,Head = Torx; Diameter = 3mm;,,Screw in,Rail 3.Hole 2;,Screwdriver,Tip = CR-V T8;,
80,Screw 23,Head = Torx; Diameter = 3mm;,,Screw in,Rail 3.Hole 3;,Screwdriver,Tip = CR-V T8;,
81,Screw 24,Head = Torx; Diameter = 3mm;,,Screw in,Rail 3.Hole 4;,Screwdriver,Tip = CR-V T8;,
82,Rail 4,Plunger = True; Length = 113.5mm;,,Place,Frame 1.Corner 4; Frame 2.Corner 4;,,,
83,Screw 25,Head = Torx; Diameter = 3mm;,,Screw in,Rail 4.Hole 1;,Screwdriver,Tip = CR-V T8;,
84,Screw 26,Head = Torx; Diameter = 3mm;,,Screw in,Rail 4.Hole 2;,Screwdriver,Tip = CR-V T8;,
85,Screw 27,Head = Torx; Diameter = 3mm;,,Screw in,Rail 4.Hole 3;,Screwdriver,Tip = CR-V T8;,
86,Screw 28,Head = Torx; Diameter = 3mm;,,Screw in,Rail 4.Hole 4;,Screwdriver,Tip = CR-V T8;,